Product table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image,Supplier,Product name,THC,CBD,Cultivar,Grams Pack,Unit (g or mL),Supplier Product Code,Buyer Product Code,Local Code (PZN),Irradiation,RRP / UVP / g,Basic Price / g ,Price / g Bundle,Bundle,Cultivator,Country of origin,Region,Lineage 1 x,Lineage 2,Dominance,THC,CBD,CBG,CBN,Packaging material,Resealable,COGS,Visibility start,Visibility end,More columns should be able to be created flexibly per company
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch table ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch Number,Supplier,Product name,Cultivar,Ready for Sale Date,Shelf life months,Expiry date,Loss of drying,Active Water,THC,CBD,CBG,CBN,Terpene #1,Terpene #1 %,Terpene #2,Terpene #2 %,Terpene #3,Terpene #3 %,Description,,,,,,,,,,,,
A123,Canadian Craft Cannabis Company GmbH,Spirit Bear STR 28/1,Strawberry Meltshake,12-Aug.-2026,12,11-Aug.-2027,either or selected,6%,"27,91%","0,90%","2,10%","0,30%",Myrcene,"2,00%",Limonen,"1,20%",Carryophylene,"0,90%",Free text form,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Dropdown menu from this list of terpenes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Terpene,Aroma/Description,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Myrcene,"earthy, musky, mango",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Limonene,citrus,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Beta-Caryophyllene,"peppery, spicy",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Pinene,pine,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Linalool,"floral, lavender",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Terpinolene,"fresh, herbal, piney-floral",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Humulene,"hoppy, earthy",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Ocimene,"sweet, herbal",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Bisabolol,"floral, chamomile",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Nerolidol,"woody, citrusy",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Eucalyptol,"minty, eucalyptus",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Camphene,"earthy, damp",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Terpineol,"floral, lilac",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Geraniol,"rose, floral",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Valencene,sweet orange,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Fenchol,"earthy, pine",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Borneol,"minty, camphor",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Phellandrene,"minty, citrus",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Sabinene,"spicy, peppery",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Guaiol,"piney, woody",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Delta-3-Carene,"sweet, pine",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Pulegone,minty,,,,,,,,,,,,,,,,
